DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Larnaca,LCA,Edelweiss Air,A320,False,2025-05-05 05:45:00,06:09,2025-05-05 06:09:00,24
Pristina,PRN,Chair Airlines,A320,False,2025-05-05 05:45:00,06:00,2025-05-05 06:00:00,15
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-05 06:00:00,06:07,2025-05-05 06:07:00,7
Heraklion,HER,Edelweiss Air,A320,False,2025-05-05 06:00:00,06:12,2025-05-05 06:12:00,12
Antalya,AYT,Edelweiss Air,A320,False,2025-05-05 06:10:00,06:21,2025-05-05 06:21:00,11
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-05-05 06:10:00,06:18,2025-05-05 06:18:00,8
Lisbon,LIS,TAP Air Portugal,A321,False,2025-05-05 06:20:00,06:48,2025-05-05 06:48:00,28
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-05 06:20:00,06:30,2025-05-05 06:30:00,10
Marrakesh,RAK,Edelweiss Air,A320,False,2025-05-05 06:25:00,06:33,2025-05-05 06:33:00,8
Olbia,OLB,Edelweiss Air,A320,False,2025-05-05 06:25:00,06:36,2025-05-05 06:36:00,11
Pristina,PRN,Edelweiss Air,A359,False,2025-05-05 06:30:00,06:42,2025-05-05 06:42:00,12
Ibiza,IBZ,Aeroways,C25A,False,2025-05-05 06:40:00,07:00,2025-05-05 07:00:00,20
Bilbao,BIO,Edelweiss Air,A320,False,2025-05-05 06:45:00,06:57,2025-05-05 06:57:00,12
Funchal,FNC,Edelweiss Air,A320,False,2025-05-05 06:45:00,07:17,2025-05-05 07:17:00,32
Hurghada,HRG,Chair Airlines,A320,False,2025-05-05 06:45:00,06:55,2025-05-05 06:55:00,10
Split,SPU,NetJets Europe,C56X,False,2025-05-05 06:45:00,07:01,2025-05-05 07:01:00,16
Brindisi,BDS,Swiss,A320,False,2025-05-05 06:50:00,06:53,2025-05-05 06:53:00,3
Palma de Mallorca,PMI,Swiss,A320,False,2025-05-05 06:50:00,07:06,2025-05-05 07:06:00,16
Frankfurt,FRA,Helvetic Airways,E295,False,2025-05-05 06:55:00,07:04,2025-05-05 07:04:00,9
Krakow,KRK,Swiss,BCS3,False,2025-05-05 06:55:00,07:13,2025-05-05 07:13:00,18
Belgrade,BEG,Swiss,BCS1,False,2025-05-05 06:55:00,07:15,2025-05-05 07:15:00,20
Madrid,MAD,Swiss,BCS3,False,2025-05-05 06:55:00,07:21,2025-05-05 07:21:00,26
Amsterdam,AMS,KLM,B738,False,2025-05-05 07:00:00,07:36,2025-05-05 07:36:00,36
