DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Pristina,PRN,Chair Airlines,A320,False,2025-05-17 05:45:00,06:00,2025-05-17 06:00:00,15
Antalya,AYT,Edelweiss Air,A320,False,2025-05-17 05:45:00,06:20,2025-05-17 06:20:00,35
Pristina,PRN,Chair Airlines,A320,False,2025-05-17 05:45:00,06:00,2025-05-17 06:00:00,15
Antalya,AYT,Edelweiss Air,A320,False,2025-05-17 05:45:00,06:20,2025-05-17 06:20:00,35
Pristina,PRN,Chair Airlines,A320,False,2025-05-17 05:45:00,06:00,2025-05-17 06:00:00,15
Antalya,AYT,Edelweiss Air,A320,False,2025-05-17 05:45:00,06:20,2025-05-17 06:20:00,35
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-17 06:00:00,06:16,2025-05-17 06:16:00,16
Catania,CTA,Swiss,A20N,False,2025-05-17 06:00:00,06:06,2025-05-17 06:06:00,6
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-17 06:10:00,06:18,2025-05-17 06:18:00,8
Funchal,FNC,Edelweiss Air,A320,False,2025-05-17 06:10:00,06:22,2025-05-17 06:22:00,12
Porto,OPO,Swiss,BCS3,False,2025-05-17 06:20:00,06:45,2025-05-17 06:45:00,25
Lisbon,LIS,TAP Air Portugal,A320,False,2025-05-17 06:20:00,06:42,2025-05-17 06:42:00,22
Cagliari,CAG,Edelweiss Air,A320,False,2025-05-17 06:25:00,06:38,2025-05-17 06:38:00,13
Larnaca,LCA,Edelweiss Air,A320,False,2025-05-17 06:25:00,06:35,2025-05-17 06:35:00,10
Pristina,PRN,Edelweiss Air,A359,False,2025-05-17 06:25:00,06:40,2025-05-17 06:40:00,15
Hurghada,HRG,Chair Airlines,A320,False,2025-05-17 06:30:00,06:43,2025-05-17 06:43:00,13
Larnaca,LCA,Chair Airlines,A319,False,2025-05-17 06:30:00,08:07,2025-05-17 08:07:00,97
Tromso,TOS,Edelweiss Air,A320,False,2025-05-17 06:30:00,06:47,2025-05-17 06:47:00,17
Dublin,DUB,Helvetic Airways,E295,False,2025-05-17 06:35:00,06:48,2025-05-17 06:48:00,13
Sharm el-Sheikh,SSH,Edelweiss Air,A320,False,2025-05-17 06:40:00,06:53,2025-05-17 06:53:00,13
Palma de Mallorca,PMI,Swiss,A21N,False,2025-05-17 06:45:00,06:55,2025-05-17 06:55:00,10
Sofia,SOF,Helvetic Airways,E290,False,2025-05-17 06:50:00,07:03,2025-05-17 07:03:00,13
Brindisi,BDS,Swiss,A321,False,2025-05-17 06:50:00,07:05,2025-05-17 07:05:00,15
Cluj-Napoca,CLJ,Swiss,BCS1,False,2025-05-17 06:50:00,07:01,2025-05-17 07:01:00,11
Frankfurt,FRA,Helvetic Airways,E290,False,2025-05-17 06:55:00,07:10,2025-05-17 07:10:00,15
Belgrade,BEG,Swiss,BCS1,False,2025-05-17 06:55:00,07:06,2025-05-17 07:06:00,11
Madrid,MAD,Helvetic Airways,E295,False,2025-05-17 06:55:00,07:08,2025-05-17 07:08:00,13
Amsterdam,AMS,KLM,B737,False,2025-05-17 07:00:00,07:28,2025-05-17 07:28:00,28
Krakow,KRK,Swiss,BCS3,False,2025-05-17 07:00:00,07:12,2025-05-17 07:12:00,12
Sarajevo,SJJ,Helvetic Airways,E295,False,2025-05-17 07:00:00,07:19,2025-05-17 07:19:00,19
Palermo,PMO,Air Baltic,BCS3,False,2025-05-17 07:00:00,08:03,2025-05-17 08:03:00,63
London,LHR,Swiss,A20N,False,2025-05-17 07:05:00,07:22,2025-05-17 07:22:00,17
Manchester,MAN,Helvetic Airways,E290,False,2025-05-17 07:05:00,07:35,2025-05-17 07:35:00,30
Naples,NAP,Swiss,BCS3,False,2025-05-17 07:05:00,07:26,2025-05-17 07:26:00,21
Ljubljana,LJU,Helvetic Airways,E195,False,2025-05-17 07:05:00,07:16,2025-05-17 07:16:00,11
Dusseldorf,DUS,Helvetic Airways,E190,False,2025-05-17 07:10:00,07:39,2025-05-17 07:39:00,29
Copenhagen,CPH,Swiss,A320,False,2025-05-17 07:10:00,07:30,2025-05-17 07:30:00,20
Barcelona,BCN,Swiss,A21N,False,2025-05-17 07:10:00,07:41,2025-05-17 07:41:00,31
Budapest,BUD,Air Baltic,BCS3,False,2025-05-17 07:10:00,07:51,2025-05-17 07:51:00,41
London,LHR,British Airways,A320,False,2025-05-17 07:15:00,07:24,2025-05-17 07:24:00,9
Hamburg,HAM,Swiss,A320,False,2025-05-17 07:15:00,07:32,2025-05-17 07:32:00,17
