time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-05-21 00:00:00,15.1,9.9,71,0,,271,5.5,11.1,1014.8,,4
2025-05-21 01:00:00,14.3,9.9,75,0,,262,5.5,9.3,1014.9,,4
2025-05-21 02:00:00,13.9,9.9,77,0,,237,5.5,11.1,1014.9,,4
2025-05-21 03:00:00,13.3,9.9,80,0,,243,5.5,11.1,1014.9,,4
2025-05-21 04:00:00,12.9,10.1,83,0,,244,5.5,11.1,1014.9,,4
2025-05-21 05:00:00,12.7,10.2,85,0,,200,5.5,11.1,1015,,4
2025-05-21 06:00:00,12.8,10.7,87,0,,192,5.5,9.3,1015.1,,4
2025-05-21 07:00:00,13.4,11.3,87,0,,199,5.5,11.1,1015.2,,7
2025-05-21 08:00:00,14.5,11.5,82,0.4,,216,5.5,13,1015.5,,7
2025-05-21 09:00:00,15.5,11.5,77,1.3,,226,7.4,14.8,1015.4,,7
2025-05-21 10:00:00,16.5,11.4,72,0.7,,232,7.4,16.7,1015.3,,4
2025-05-21 11:00:00,17.3,11.3,68,0,,231,9.3,20.4,1015.1,,3
2025-05-21 12:00:00,17.4,11.4,68,0,,233,9.3,22.2,1014.8,,3
2025-05-21 13:00:00,17.9,11.5,66,0,,238,11.1,24.1,1014.3,,3
2025-05-21 14:00:00,18,11.3,65,2.5,,244,11.1,24.1,1013.8,,3
2025-05-21 15:00:00,18.2,11,63,2,,246,11.1,25.9,1013.4,,7
2025-05-21 16:00:00,18.2,11,63,0,,246,11.1,27.8,1013,,7
2025-05-21 17:00:00,18,10.6,62,0.2,,245,11.1,27.8,1012.7,,7
2025-05-21 18:00:00,17.4,10.5,64,0.3,,237,11.1,25.9,1012.4,,7
2025-05-21 19:00:00,16.4,10.5,68,0.3,,231,11.1,24.1,1012.6,,7
2025-05-21 20:00:00,15.6,10.4,71,0.1,,223,9.3,20.4,1012.9,,7
2025-05-21 21:00:00,14.7,10.3,75,,,222,7.4,18.5,1013,,7
2025-05-21 22:00:00,14.1,10.3,78,,,226,7.4,16.7,1013,,7
2025-05-21 23:00:00,13.6,10.4,81,,,206,7.4,16.7,1013.3,,7
2025-05-22 00:00:00,13.2,10.4,83,,,203,5.5,14.8,1013.2,,7
2025-05-22 01:00:00,12.9,10.3,84,,,207,5.5,14.8,1013.1,,7
2025-05-22 02:00:00,12.5,10.2,86,,,219,5.5,13,1012.9,,7
2025-05-22 03:00:00,12,10.1,88,,,217,5.5,13,1012.5,,7
2025-05-22 04:00:00,11.7,9.9,89,,,216,5.5,13,1012.2,,7
2025-05-22 05:00:00,11.4,10,91,,,232,5.5,14.8,1011.8,,7
2025-05-22 06:00:00,11.3,10,92,,,234,5.5,13,1011.9,,7
2025-05-22 07:00:00,11.3,10,92,,,231,7.4,14.8,1011.7,,7
2025-05-22 08:00:00,11.6,10,90,,,242,7.4,14.8,1011.5,,7
2025-05-22 09:00:00,11.9,10,88,,,255,7.4,16.7,1011.5,,7
2025-05-22 10:00:00,12.6,10,84,,,262,7.4,14.8,1011.4,,7
2025-05-22 11:00:00,13,9.6,80,,,263,7.4,16.7,1011.3,,7
2025-05-22 12:00:00,13.4,9.6,78,,,268,7.4,16.7,1010.9,,7
